id	region_id	timestamp	type	participants	vehicles	victims	fatalities	city	street	house	road	km	m	places	problems	reasons
193749263	80512	2016-05-27 17:20:00	Наезд на пешехода	2	1	1	0	г Волгоград	ул им Алехина	28				Перегон (нет объектов на месте ДТП)	Отсутствие, плохая различимость горизонтальной разметки проезжей части	Водитель: Другие нарушения ПДД водителем; Пешеход: Переход через проезжую часть в неустановленном месте (при наличии в зоне видимости перекрёстка)
193572464	80512	2016-05-26 20:00:00	Столкновение	4	3	2	0	г Волгоград	пр-кт Университетский	38				Перегон (нет объектов на месте ДТП)	Отсутствие, плохая различимость горизонтальной разметки проезжей части	Водитель: Другие нарушения ПДД водителем
193572435	80512	2016-05-26 00:56:00	Столкновение	3	2	1	0	г Волгоград	пр-кт им В.И.Ленина	103				Перегон (нет объектов на месте ДТП)		Водитель: Нарушение правил перестроения
194505307	80512	2016-05-26 13:20:00	Наезд на препятствие	1	1	1	0	г Волгоград	ул Елецкая	1 А				Перегон (нет объектов на месте ДТП)	Дефекты покрытия	Водитель: Другие нарушения ПДД водителем
193505437	80512	2016-05-25 15:00:00	Наезд на пешехода	2	1	1	0	г Волгоград	ул Коммунистическая	60				Перегон (нет объектов на месте ДТП)		Водитель: Другие нарушения ПДД водителем
193505434	80512	2016-05-25 12:00:00	Столкновение	3	2	1	0	г Волгоград	пр-кт Университетский	52				Регулируемый пешеходный переход	Отсутствие, плохая различимость горизонтальной разметки проезжей части; Отсутствие дорожных знаков в необходимых местах	Водитель: Неправильный выбор дистанции
193506727	80512	2016-05-25 10:00:00	Наезд на пешехода	2	1	1	0	г Волгоград	ул им Дзержинского	36				Нерегулируемый пешеходный переход		Водитель: Нарушение правил проезда пешеходного перехода
193697907	80512	2016-05-25 21:00:00	Столкновение	3	3	1	0	г Волгоград	ул Московская	2А				Перегон (нет объектов на месте ДТП)	Дефекты покрытия	
193505432	80512	2016-05-25 08:15:00	Столкновение	10	4	6	0	г Волгоград	ш Авиаторов	18а				Перегон (нет объектов на месте ДТП)	Отсутствие, плохая различимость горизонтальной разметки проезжей части; Несоответствие люков смотровых колодцев и ливневой канализации предъявляемым требованиям	Водитель: Неправильный выбор дистанции
194436100	80512	2016-05-25 16:00:00	Столкновение	4	4	2	0	г Волгоград	пр-кт им В.И.Ленина	75				Регулируемый перекресток		Водитель: Несоблюдение очередности проезда
